Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Acrocarpus_fraxinifolius,0.901,0.0,13.1,0.0,3.8,0.0,0.0,9.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,6.3
Acronychia_pedunculata,0.97,0.0,1.7,13.1,0.7,0.0,0.4,0.2,0.1,0.0,0.0,0.0,12.7,0.0,61.9,3.9,0.0,2.3,0.0,0.0,3.1
Actephila_excelsa,0.91,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,67.4
Actinodaphne_bourdillonii,0.956,0.0,0.1,1.4,4.2,0.0,0.0,2.5,10.9,0.6,0.0,0.8,28.7,2.8,0.5,0.0,6.1,0.0,0.1,24.2,17.0
Actinodaphne_gullavara,0.959,0.0,0.5,5.8,0.2,0.0,0.2,2.5,3.1,0.3,0.0,1.2,0.7,22.2,28.7,4.0,0.2,2.2,26.0,0.6,1.6
Actinodaphne_lanceolata,0.987,0.0,0.0,1.5,0.0,3.7,0.1,0.0,7.1,0.0,6.4,0.0,0.0,8.2,3.2,41.9,0.0,8.3,15.2,1.2,3.0
Actinodaphne_salicina,0.96,0.0,0.0,0.0,48.9,22.0,0.0,0.0,0.2,0.0,1.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,26.9
Actinodaphne_tadulingamii,0.97,1.9,0.0,1.3,13.7,11.7,0.0,46.8,6.6,0.2,7.1,0.0,0.3,0.6,0.0,1.9,0.0,1.4,5.8,0.8,0.0
Actinodaphne_wightiana,0.936,0.0,0.3,15.0,1.1,0.0,7.5,1.3,2.9,0.4,0.0,0.2,16.1,1.8,0.4,0.5,19.8,0.0,1.5,3.0,28.2
Agasthiyamalai_pauciflora,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.2,0.0,0.0,0.0,0.5,0.0,73.3,16.6,0.0,0.0,6.0,0.1,0.0
Aglaia_bourdillonii,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7,13.1,0.0,0.0,0.2,0.1,0.0
